quarter,MAE,RMSE,Bias
2018Q1,0.021087568526765903,0.027273044619354536,-0.002999773737815723
2018Q2,0.011035830615735896,0.01762534718804198,0.0042688276280707215
2018Q3,0.011843005009931932,0.020651003723722007,-0.005104600362020874
2018Q4,0.013986192583163918,0.020195071036959274,0.0006786840111883875
2019Q1,0.01916607058077781,0.03576875777756873,0.005591949866693171
2019Q2,0.015418909218914388,0.02350939946442051,-0.0002649262234761873
2019Q3,0.013584398889350875,0.02050655262457189,0.0003423693326505524
2019Q4,0.006487684979967549,0.008131481999390646,-0.0032480685483679524
2020Q1,0.02208392783746922,0.03469660890810399,-0.018827357129770003
2020Q2,0.025441307694238264,0.044317476498370555,0.005856658022234698
2020Q3,0.01965335115493319,0.0360409929194317,0.0008997379031720387
2020Q4,0.018079381539553036,0.025608388499200857,0.0032260222507375456
2021Q1,0.012577150949644443,0.017848240273951294,-0.00011380447883829929
2021Q2,0.007495061252666298,0.012030681312666219,0.0014644531658268174
2021Q3,0.008100237383034779,0.012189158654708852,-0.0058077456619545715
2021Q4,0.01033264424342752,0.01413497506348733,-0.004787304166487559
2022Q1,0.012787811703006911,0.02425254846384991,0.00029929133234533396
2022Q2,0.013825222175876674,0.018436159916566584,0.003501690163828974
2022Q3,0.012748935242486,0.018333999876259534,-0.0012788694638090473
2022Q4,0.017761365707392528,0.028656436522279557,0.0063402128132677244
2023Q1,0.00851376886826414,0.011691134022772593,-0.0008269663852317325
2023Q2,0.007793203312660288,0.01408973816730901,-0.0016142500429416854
2023Q3,0.010054669162404236,0.01717420042625335,-0.004812629371471705
2023Q4,0.006453017371340546,0.009218152753606114,-0.000851818765236552
2024Q1,0.011915184818241928,0.016384896262133658,-0.00705920882445198
2024Q2,0.016172150038742658,0.027377957843948274,-0.0027320499332858226
2024Q3,0.011195727371840377,0.019267238266847626,0.0005599934372228564
2024Q4,0.008664691057731577,0.010850538343791905,-0.0007455704525212905
2025Q1,0.012625257088806192,0.018308655607145178,-0.004182488364159066
2025Q2,0.04216525462289923,0.06691247275343723,0.019465274139089484
2025Q3,0.01114444084588687,0.021264978296160728,-0.006961436953693687
